id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	6693	M. Moor	6	Adult	Unknown	1998	10	24		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.22917	29.76667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6694	Charles	12	Adult	Unknown	1998	9	23		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.48333	29.81667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6695	Unknown	9	Adult	Unknown	1998	3	30		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.48611	29.81667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6696	Unknown	11	Adult	Unknown	1998	6	29		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.48611	29.81667	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6697	T Roberts	19	Adult	Unknown	1998	9	19		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.28333	30.03389	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6698	Unknown	2	Adult	Unknown	1998	12	15		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-27.93889	30.46722	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6699	Unknown	160	Adult	Unknown	1998	12	15		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-27.93889	30.46722	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6700	Unknown	16	Adult	Unknown	1998	6	26		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-30.27806	29.41750	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	6701	D. Hoddinott	4	Adult	Unknown	1998	7	1		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.34722	30.28472	WGS84	data custodian	Bugeranus carunculatus	Bugeranus	Wattled Crane
	Endangered Wildlife Trust	HumanObservation	6702	Unknown	62	Adult	Unknown	1998	7	13		Flock (single species)	South Africa	KwaZulu-Natal	Unknown		-29.78556	29.63472	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
