id	ownerInstitutionCode	basisOfRecord	catalogNumber	recordedBy	individualCount	lifeStage	behavior	year	month	day	fieldNotes	eventRemarks	country	stateProvince	locality	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	georeferenceVerificationStatus	scientificName	genus	vernacularName
	Endangered Wildlife Trust	HumanObservation	72	Glenn Ramke	1	Adult	Feeding	2005	1	13	Have not seen change over or regular sitings of CC		South Africa	Mpumalanga	Unknown		-2.734.556	3.014.306	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	73	Bradley Gibbons	4	2 Adults, 2 Juveniles	Unknown	2005	3	22	Have to confirm that there are 2 chicks	Family group	South Africa	Eastern Cape	Unknown		-3.145.472	2.519.028	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	74	Bradley Gibbons	7	Adult	Flying	2005	3	14	Heard them and saw them	Flock (single species)	South Africa	Eastern Cape	Unknown		-3.149.389	2.500.944	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	75	Glenn Ramke	2	Adult	Roosting	2005	1	4	"In Tree; Think it is the Weavers Nest pair perched in tree"		South Africa	Mpumalanga	Unknown		-2.733.222	3.016.528	WGS84	data custodian	Balearica regulorum	Balearica	Grey Crowned Crane
	Endangered Wildlife Trust	HumanObservation	76	Bradley Gibbons	4	Adult	Feeding	2005	3	10	Karoo land with Agave		South Africa	Eastern Cape	Unknown		-3.199.167	2.468.194	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	77	Ronelle Visagie	2	Adult	Feeding	2005	10	9	Known pair		South Africa	Northern Cape	Unknown		-3.006.639	2.390.222	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	80	Bradley Gibbons	78	Adult	Feeding	2005	6	30	Large field with sheep		South Africa	Eastern Cape	Unknown		-3.148.972	2.550.278	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	81	Bradley Gibbons	74	Adult	Feeding	2005	7	2	Large field with sheep - irrigated		South Africa	Eastern Cape	Unknown		-3.148.972	2.550.278	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	82	Bradley Gibbons & Leon Theron	74	Adult	Feeding	2005	7	8	Large field with sheep - irrigated		South Africa	Eastern Cape	Unknown		-3.148.972	2.550.278	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	83	Bradley Gibbons	237	Adult	Feeding	2005	5	24	Largest flock seen - they were also spread out from each other		South Africa	Eastern Cape	Unknown		-3.134.222	2.521.833	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	84	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: green/orange, Right: Large red		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
	Endangered Wildlife Trust	HumanObservation	85	Bradley Gibbons & Ronelle Visagie	-9999	Unknown	Feeding	2005	8	10	Left: green/white, Right: Large red		South Africa	Northern Cape	Unknown		-2.988.500	2.439.917	WGS84	data custodian	Anthropoides paradiseus	Anthropoides	Blue Crane
